?Format,Metric,Year,Number of Records,Value (Actual)
Other Ad-Supported Streaming,Value,2019,1,251.0647101
Other Digital,Value,1973,1,
Other Digital,Value,1974,1,
Other Digital,Value,1975,1,
Other Digital,Value,1976,1,
Other Digital,Value,1977,1,
Other Digital,Value,1978,1,
Other Digital,Value,1979,1,
Other Digital,Value,1980,1,
Other Digital,Value,1981,1,
Other Digital,Value,1982,1,
Other Digital,Value,1983,1,
Other Digital,Value,1984,1,
Other Digital,Value,1985,1,
Other Digital,Value,1986,1,
Other Digital,Value,1987,1,
Other Digital,Value,1988,1,
Other Digital,Value,1989,1,
Other Digital,Value,1990,1,
Other Digital,Value,1991,1,
Other Digital,Value,1992,1,
Other Digital,Value,1993,1,
Other Digital,Value,1994,1,
Other Digital,Value,1995,1,
Other Digital,Value,1996,1,
Other Digital,Value,1997,1,
Other Digital,Value,1998,1,
Other Digital,Value,1999,1,
Other Digital,Value,2000,1,
Other Digital,Value,2001,1,
Other Digital,Value,2002,1,
Other Digital,Value,2003,1,
Other Digital,Value,2004,1,
Other Digital,Value,2005,1,
Other Digital,Value,2006,1,
Other Digital,Value,2007,1,
Other Digital,Value,2008,1,
Other Digital,Value,2009,1,
Other Digital,Value,2010,1,
Other Digital,Value,2011,1,
Other Digital,Value,2012,1,
Other Digital,Value,2013,1,
Other Digital,Value,2014,1,
Other Digital,Value,2015,1,
Other Digital,Value,2016,1,17.14166287
Other Digital,Value,2017,1,16.88510987
Other Digital,Value,2018,1,19.83957487
Other Digital,Value,2019,1,21.51717501
Other Tapes,Value,1973,1,15.6
Other Tapes,Value,1974,1,13.3
Other Tapes,Value,1975,1,10.2
Other Tapes,Value,1976,1,5.1
Other Tapes,Value,1977,1,
Other Tapes,Value,1978,1,
Other Tapes,Value,1979,1,
Other Tapes,Value,1980,1,
Other Tapes,Value,1981,1,
Other Tapes,Value,1982,1,
Other Tapes,Value,1983,1,
Other Tapes,Value,1984,1,
Other Tapes,Value,1985,1,
Other Tapes,Value,1986,1,
Other Tapes,Value,1987,1,
Other Tapes,Value,1988,1,
Other Tapes,Value,1989,1,
Other Tapes,Value,1990,1,
Other Tapes,Value,1991,1,
Other Tapes,Value,1992,1,
Other Tapes,Value,1993,1,
Other Tapes,Value,1994,1,
Other Tapes,Value,1995,1,
Other Tapes,Value,1996,1,
Other Tapes,Value,1997,1,
Other Tapes,Value,1998,1,
Other Tapes,Value,1999,1,
Other Tapes,Value,2000,1,
Other Tapes,Value,2001,1,
Other Tapes,Value,2002,1,
Other Tapes,Value,2003,1,
Other Tapes,Value,2004,1,
Other Tapes,Value,2005,1,
Other Tapes,Value,2006,1,
Other Tapes,Value,2007,1,
Other Tapes,Value,2008,1,
Other Tapes,Value,2009,1,
Other Tapes,Value,2010,1,
Other Tapes,Value,2011,1,
Other Tapes,Value,2012,1,
Other Tapes,Value,2013,1,
Other Tapes,Value,2014,1,
Other Tapes,Value,2015,1,
Other Tapes,Value,2016,1,
Other Tapes,Value,2017,1,
Other Tapes,Value,2018,1,
Other Tapes,Value,2019,1,
Paid Subscription,Value,1973,1,
Paid Subscription,Value,1974,1,
Paid Subscription,Value,1975,1,
Paid Subscription,Value,1976,1,
Paid Subscription,Value,1977,1,
Paid Subscription,Value,1978,1,
Paid Subscription,Value,1979,1,
Paid Subscription,Value,1980,1,
Paid Subscription,Value,1981,1,
Paid Subscription,Value,1982,1,
Paid Subscription,Value,1983,1,
Paid Subscription,Value,1984,1,
Paid Subscription,Value,1985,1,
Paid Subscription,Value,1986,1,
Paid Subscription,Value,1987,1,
Paid Subscription,Value,1988,1,
Paid Subscription,Value,1989,1,
Paid Subscription,Value,1990,1,
Paid Subscription,Value,1991,1,
Paid Subscription,Value,1992,1,
Paid Subscription,Value,1993,1,
Paid Subscription,Value,1994,1,
Paid Subscription,Value,1995,1,
Paid Subscription,Value,1996,1,
Paid Subscription,Value,1997,1,
Paid Subscription,Value,1998,1,
Paid Subscription,Value,1999,1,
Paid Subscription,Value,2000,1,
Paid Subscription,Value,2001,1,
Paid Subscription,Value,2002,1,
Paid Subscription,Value,2003,1,
Paid Subscription,Value,2004,1,
Paid Subscription,Value,2005,1,149.2
Paid Subscription,Value,2006,1,206.2
Paid Subscription,Value,2007,1,234
Paid Subscription,Value,2008,1,221.4
Paid Subscription,Value,2009,1,206.2
Paid Subscription,Value,2010,1,212.4
Paid Subscription,Value,2011,1,247.8
Paid Subscription,Value,2012,1,399.8825311
Paid Subscription,Value,2013,1,643.3242888
Paid Subscription,Value,2014,1,770.2705591
Paid Subscription,Value,2015,1,"1,156.71"
Paid Subscription,Value,2016,1,"2,244.15"
Paid Subscription,Value,2017,1,"3,500.55"
Paid Subscription,Value,2018,1,"4,655.97"
Paid Subscription,Value,2019,1,"5,934.40"
Ringtones & Ringbacks,Value,1973,1,
Ringtones & Ringbacks,Value,1974,1,
Ringtones & Ringbacks,Value,1975,1,
Ringtones & Ringbacks,Value,1976,1,
Ringtones & Ringbacks,Value,1977,1,
Ringtones & Ringbacks,Value,1978,1,
Ringtones & Ringbacks,Value,1979,1,
Ringtones & Ringbacks,Value,1980,1,
Ringtones & Ringbacks,Value,1981,1,
Ringtones & Ringbacks,Value,1982,1,
Ringtones & Ringbacks,Value,1983,1,
Ringtones & Ringbacks,Value,1984,1,
Ringtones & Ringbacks,Value,1985,1,
Ringtones & Ringbacks,Value,1986,1,
Ringtones & Ringbacks,Value,1987,1,
Ringtones & Ringbacks,Value,1988,1,
Ringtones & Ringbacks,Value,1989,1,
Ringtones & Ringbacks,Value,1990,1,
Ringtones & Ringbacks,Value,1991,1,
Ringtones & Ringbacks,Value,1992,1,
Ringtones & Ringbacks,Value,1993,1,
Ringtones & Ringbacks,Value,1994,1,
Ringtones & Ringbacks,Value,1995,1,
Ringtones & Ringbacks,Value,1996,1,
Ringtones & Ringbacks,Value,1997,1,
Ringtones & Ringbacks,Value,1998,1,
Ringtones & Ringbacks,Value,1999,1,
Ringtones & Ringbacks,Value,2000,1,
Ringtones & Ringbacks,Value,2001,1,
Ringtones & Ringbacks,Value,2002,1,
Ringtones & Ringbacks,Value,2003,1,
Ringtones & Ringbacks,Value,2004,1,
Ringtones & Ringbacks,Value,2005,1,421.6
Ringtones & Ringbacks,Value,2006,1,773.8
Ringtones & Ringbacks,Value,2007,1,"1,055.80"
Ringtones & Ringbacks,Value,2008,1,977.1
Ringtones & Ringbacks,Value,2009,1,702.8
Ringtones & Ringbacks,Value,2010,1,448
Ringtones & Ringbacks,Value,2011,1,276.2
Ringtones & Ringbacks,Value,2012,1,145.9929351
Ringtones & Ringbacks,Value,2013,1,97.99961233
Ringtones & Ringbacks,Value,2014,1,66.31137067
Ringtones & Ringbacks,Value,2015,1,54.58202422
Ringtones & Ringbacks,Value,2016,1,56.32529913
Ringtones & Ringbacks,Value,2017,1,35.51373565
Ringtones & Ringbacks,Value,2018,1,24.9578598
Ringtones & Ringbacks,Value,2019,1,21.4267369
SACD,Value,1973,1,
SACD,Value,1974,1,
SACD,Value,1975,1,
SACD,Value,1976,1,
SACD,Value,1977,1,
SACD,Value,1978,1,
SACD,Value,1979,1,
SACD,Value,1980,1,
SACD,Value,1981,1,
SACD,Value,1982,1,
SACD,Value,1983,1,
SACD,Value,1984,1,
SACD,Value,1985,1,
SACD,Value,1986,1,
SACD,Value,1987,1,
SACD,Value,1988,1,
SACD,Value,1989,1,
SACD,Value,1990,1,
SACD,Value,1991,1,
SACD,Value,1992,1,
SACD,Value,1993,1,
SACD,Value,1994,1,
SACD,Value,1995,1,
SACD,Value,1996,1,
SACD,Value,1997,1,
SACD,Value,1998,1,
SACD,Value,1999,1,
SACD,Value,2000,1,
SACD,Value,2001,1,
SACD,Value,2002,1,
SACD,Value,2003,1,26.3
SACD,Value,2004,1,16.6
SACD,Value,2005,1,10
SACD,Value,2006,1,5.5
SACD,Value,2007,1,3.6
SACD,Value,2008,1,3.1
SACD,Value,2009,1,2.4
SACD,Value,2010,1,1.7
SACD,Value,2011,1,1.5
SACD,Value,2012,1,1.3425
SACD,Value,2013,1,0.9783826
SACD,Value,2014,1,0.76344539
SACD,Value,2015,1,1.04346656
SACD,Value,2016,1,1.20686148
SACD,Value,2017,1,0.85057856
SACD,Value,2018,1,0.85969971
SACD,Value,2019,1,0.433302292
SoundExchange Distributions,Value,1973,1,
SoundExchange Distributions,Value,1974,1,
SoundExchange Distributions,Value,1975,1,
SoundExchange Distributions,Value,1976,1,
SoundExchange Distributions,Value,1977,1,
SoundExchange Distributions,Value,1978,1,
SoundExchange Distributions,Value,1979,1,
SoundExchange Distributions,Value,1980,1,
SoundExchange Distributions,Value,1981,1,
SoundExchange Distributions,Value,1982,1,
SoundExchange Distributions,Value,1983,1,
SoundExchange Distributions,Value,1984,1,
SoundExchange Distributions,Value,1985,1,
SoundExchange Distributions,Value,1986,1,
SoundExchange Distributions,Value,1987,1,
SoundExchange Distributions,Value,1988,1,
SoundExchange Distributions,Value,1989,1,
SoundExchange Distributions,Value,1990,1,
SoundExchange Distributions,Value,1991,1,
SoundExchange Distributions,Value,1992,1,
SoundExchange Distributions,Value,1993,1,
SoundExchange Distributions,Value,1994,1,
SoundExchange Distributions,Value,1995,1,
SoundExchange Distributions,Value,1996,1,
SoundExchange Distributions,Value,1997,1,
SoundExchange Distributions,Value,1998,1,
SoundExchange Distributions,Value,1999,1,
SoundExchange Distributions,Value,2000,1,
SoundExchange Distributions,Value,2001,1,
SoundExchange Distributions,Value,2002,1,
SoundExchange Distributions,Value,2003,1,
SoundExchange Distributions,Value,2004,1,6.9
SoundExchange Distributions,Value,2005,1,20.4
SoundExchange Distributions,Value,2006,1,32.8
SoundExchange Distributions,Value,2007,1,36.2
SoundExchange Distributions,Value,2008,1,100
SoundExchange Distributions,Value,2009,1,155.5
SoundExchange Distributions,Value,2010,1,249.2
SoundExchange Distributions,Value,2011,1,292
SoundExchange Distributions,Value,2012,1,462
SoundExchange Distributions,Value,2013,1,590.4
SoundExchange Distributions,Value,2014,1,773.4
SoundExchange Distributions,Value,2015,1,802.6
SoundExchange Distributions,Value,2016,1,883.9
SoundExchange Distributions,Value,2017,1,652
SoundExchange Distributions,Value,2018,1,952.8
SoundExchange Distributions,Value,2019,1,908.2
Synchronization,Value,1973,1,
Synchronization,Value,1974,1,
Synchronization,Value,1975,1,
Synchronization,Value,1976,1,
Synchronization,Value,1977,1,
Synchronization,Value,1978,1,
Synchronization,Value,1979,1,
Synchronization,Value,1980,1,
Synchronization,Value,1981,1,
Synchronization,Value,1982,1,
Synchronization,Value,1983,1,
Synchronization,Value,1984,1,
Synchronization,Value,1985,1,
Synchronization,Value,1986,1,
Synchronization,Value,1987,1,
Synchronization,Value,1988,1,
Synchronization,Value,1989,1,
Synchronization,Value,1990,1,
Synchronization,Value,1991,1,
Synchronization,Value,1992,1,
Synchronization,Value,1993,1,
Synchronization,Value,1994,1,
Synchronization,Value,1995,1,
Synchronization,Value,1996,1,
Synchronization,Value,1997,1,
Synchronization,Value,1998,1,
Synchronization,Value,1999,1,
Synchronization,Value,2000,1,
Synchronization,Value,2001,1,
Synchronization,Value,2002,1,
Synchronization,Value,2003,1,
Synchronization,Value,2004,1,
Synchronization,Value,2005,1,
Synchronization,Value,2006,1,
Synchronization,Value,2007,1,
Synchronization,Value,2008,1,
Synchronization,Value,2009,1,201.2
Synchronization,Value,2010,1,188.7
Synchronization,Value,2011,1,196.5
Synchronization,Value,2012,1,190.597753
Synchronization,Value,2013,1,189.679434
Synchronization,Value,2014,1,189.713099
Synchronization,Value,2015,1,202.934888
Synchronization,Value,2016,1,214.8389765
Synchronization,Value,2017,1,232.0865229
Synchronization,Value,2018,1,285.5134913
Synchronization,Value,2019,1,276.2623602
Vinyl Single,Value,1973,1,190
Vinyl Single,Value,1974,1,194
Vinyl Single,Value,1975,1,211.5
Vinyl Single,Value,1976,1,245.1
Vinyl Single,Value,1977,1,245.1
Vinyl Single,Value,1978,1,260.3
Vinyl Single,Value,1979,1,353.6
Vinyl Single,Value,1980,1,250
Vinyl Single,Value,1981,1,256.4
Vinyl Single,Value,1982,1,283
Vinyl Single,Value,1983,1,269.3
Vinyl Single,Value,1984,1,298.7
Vinyl Single,Value,1985,1,281
Vinyl Single,Value,1986,1,228.1
Vinyl Single,Value,1987,1,203.3
Vinyl Single,Value,1988,1,180.4
Vinyl Single,Value,1989,1,116.4
Vinyl Single,Value,1990,1,94.4
Vinyl Single,Value,1991,1,63.9
Vinyl Single,Value,1992,1,66.4
Vinyl Single,Value,1993,1,51.2
Vinyl Single,Value,1994,1,47.2
Vinyl Single,Value,1995,1,46.7
Vinyl Single,Value,1996,1,47.5
Vinyl Single,Value,1997,1,35.6
Vinyl Single,Value,1998,1,25.7
Vinyl Single,Value,1999,1,27.9
Vinyl Single,Value,2000,1,26.3
Vinyl Single,Value,2001,1,31.4
Vinyl Single,Value,2002,1,24.9
Vinyl Single,Value,2003,1,21.5
Vinyl Single,Value,2004,1,19.9
Vinyl Single,Value,2005,1,13.2
Vinyl Single,Value,2006,1,9.9
Vinyl Single,Value,2007,1,4
Vinyl Single,Value,2008,1,2.9
Vinyl Single,Value,2009,1,2.5
Vinyl Single,Value,2010,1,2.3
Vinyl Single,Value,2011,1,4.6
Vinyl Single,Value,2012,1,4.743055893
Vinyl Single,Value,2013,1,2.978937179
Vinyl Single,Value,2014,1,5.49935429
Vinyl Single,Value,2015,1,5.752954082
Vinyl Single,Value,2016,1,4.880679689
Vinyl Single,Value,2017,1,6.07838535
Vinyl Single,Value,2018,1,5.290337079
Vinyl Single,Value,2019,1,6.795945687
8 - Track,Value (Adjusted),1973,1,"2,815.68"
8 - Track,Value (Adjusted),1974,1,"2,848.01"
8 - Track,Value (Adjusted),1975,1,"2,770.41"
8 - Track,Value (Adjusted),1976,1,"3,047.22"
8 - Track,Value (Adjusted),1977,1,"3,421.42"
8 - Track,Value (Adjusted),1978,1,"3,717.22"
8 - Track,Value (Adjusted),1979,1,"2,409.73"
8 - Track,Value (Adjusted),1980,1,"1,635.09"
8 - Track,Value (Adjusted),1981,1,880.3150825
8 - Track,Value (Adjusted),1982,1,95.37463212
8 - Track,Value (Adjusted),1983,1,
8 - Track,Value (Adjusted),1984,1,
8 - Track,Value (Adjusted),1985,1,
8 - Track,Value (Adjusted),1986,1,
8 - Track,Value (Adjusted),1987,1,
8 - Track,Value (Adjusted),1988,1,
8 - Track,Value (Adjusted),1989,1,
8 - Track,Value (Adjusted),1990,1,
8 - Track,Value (Adjusted),1991,1,
8 - Track,Value (Adjusted),1992,1,
8 - Track,Value (Adjusted),1993,1,
8 - Track,Value (Adjusted),1994,1,
8 - Track,Value (Adjusted),1995,1,
8 - Track,Value (Adjusted),1996,1,
8 - Track,Value (Adjusted),1997,1,
8 - Track,Value (Adjusted),1998,1,
8 - Track,Value (Adjusted),1999,1,
8 - Track,Value (Adjusted),2000,1,
8 - Track,Value (Adjusted),2001,1,
8 - Track,Value (Adjusted),2002,1,
8 - Track,Value (Adjusted),2003,1,
8 - Track,Value (Adjusted),2004,1,
8 - Track,Value (Adjusted),2005,1,
8 - Track,Value (Adjusted),2006,1,
8 - Track,Value (Adjusted),2007,1,
8 - Track,Value (Adjusted),2008,1,
8 - Track,Value (Adjusted),2009,1,
8 - Track,Value (Adjusted),2010,1,
8 - Track,Value (Adjusted),2011,1,
8 - Track,Value (Adjusted),2012,1,
8 - Track,Value (Adjusted),2013,1,
8 - Track,Value (Adjusted),2014,1,
8 - Track,Value (Adjusted),2015,1,
8 - Track,Value (Adjusted),2016,1,
8 - Track,Value (Adjusted),2017,1,
8 - Track,Value (Adjusted),2018,1,
8 - Track,Value (Adjusted),2019,1,
CD,Value (Adjusted),1973,1,
CD,Value (Adjusted),1974,1,
CD,Value (Adjusted),1975,1,
CD,Value (Adjusted),1976,1,
CD,Value (Adjusted),1977,1,
CD,Value (Adjusted),1978,1,
CD,Value (Adjusted),1979,1,
CD,Value (Adjusted),1980,1,
CD,Value (Adjusted),1981,1,
CD,Value (Adjusted),1982,1,
CD,Value (Adjusted),1983,1,44.14960241
CD,Value (Adjusted),1984,1,254.1806362
CD,Value (Adjusted),1985,1,925.4498281
CD,Value (Adjusted),1986,1,"2,169.59"
CD,Value (Adjusted),1987,1,"3,586.40"
CD,Value (Adjusted),1988,1,"4,516.46"
CD,Value (Adjusted),1989,1,"5,335.19"
CD,Value (Adjusted),1990,1,"6,751.54"
CD,Value (Adjusted),1991,1,"8,142.17"
CD,Value (Adjusted),1992,1,"9,706.04"
CD,Value (Adjusted),1993,1,"11,520.31"
CD,Value (Adjusted),1994,1,"14,601.95"
CD,Value (Adjusted),1995,1,"15,730.96"
CD,Value (Adjusted),1996,1,"16,187.86"
CD,Value (Adjusted),1997,1,"15,793.55"
CD,Value (Adjusted),1998,1,"17,905.40"
CD,Value (Adjusted),1999,1,"19,667.33"
CD,Value (Adjusted),2000,1,"19,618.93"
CD,Value (Adjusted),2001,1,"18,635.68"
CD,Value (Adjusted),2002,1,"17,115.94"
CD,Value (Adjusted),2003,1,"15,607.44"
CD,Value (Adjusted),2004,1,"15,491.68"
CD,Value (Adjusted),2005,1,"13,771.44"
CD,Value (Adjusted),2006,1,"11,885.77"
CD,Value (Adjusted),2007,1,"9,190.70"
CD,Value (Adjusted),2008,1,"6,496.78"
CD,Value (Adjusted),2009,1,"5,146.58"
CD,Value (Adjusted),2010,1,"3,973.86"
CD,Value (Adjusted),2011,1,"3,524.14"
CD,Value (Adjusted),2012,1,"2,767.78"
CD,Value (Adjusted),2013,1,"2,349.53"
CD,Value (Adjusted),2014,1,"1,918.22"
CD,Value (Adjusted),2015,1,"1,558.63"
CD,Value (Adjusted),2016,1,"1,204.50"
CD,Value (Adjusted),2017,1,"1,102.77"
CD,Value (Adjusted),2018,1,711.0412395
CD,Value (Adjusted),2019,1,614.5097799
CD Single,Value (Adjusted),1973,1,
CD Single,Value (Adjusted),1974,1,
CD Single,Value (Adjusted),1975,1,
CD Single,Value (Adjusted),1976,1,
CD Single,Value (Adjusted),1977,1,
CD Single,Value (Adjusted),1978,1,
CD Single,Value (Adjusted),1979,1,
CD Single,Value (Adjusted),1980,1,
CD Single,Value (Adjusted),1981,1,
CD Single,Value (Adjusted),1982,1,
CD Single,Value (Adjusted),1983,1,
CD Single,Value (Adjusted),1984,1,
CD Single,Value (Adjusted),1985,1,
CD Single,Value (Adjusted),1986,1,
CD Single,Value (Adjusted),1987,1,
CD Single,Value (Adjusted),1988,1,21.17868639
CD Single,Value (Adjusted),1989,1,-1.443225
CD Single,Value (Adjusted),1990,1,11.73635807
CD Single,Value (Adjusted),1991,1,65.88517401
CD Single,Value (Adjusted),1992,1,82.1819722
CD Single,Value (Adjusted),1993,1,81.03176886
CD Single,Value (Adjusted),1994,1,96.77704251
CD Single,Value (Adjusted),1995,1,186.0391161
CD Single,Value (Adjusted),1996,1,299.9773977
CD Single,Value (Adjusted),1997,1,434.3779682
CD Single,Value (Adjusted),1998,1,334.3930822
CD Single,Value (Adjusted),1999,1,341.2852149
CD Single,Value (Adjusted),2000,1,211.8597787
CD Single,Value (Adjusted),2001,1,114.6197956
CD Single,Value (Adjusted),2002,1,27.85368093
CD Single,Value (Adjusted),2003,1,50.01984783
CD Single,Value (Adjusted),2004,1,20.30097935
CD Single,Value (Adjusted),2005,1,14.26861905
CD Single,Value (Adjusted),2006,1,9.764677083
CD Single,Value (Adjusted),2007,1,15.04590159
CD Single,Value (Adjusted),2008,1,4.156001078
CD Single,Value (Adjusted),2009,1,3.694172567
CD Single,Value (Adjusted),2010,1,3.400068331
CD Single,Value (Adjusted),2011,1,3.977965137
CD Single,Value (Adjusted),2012,1,3.59119832
CD Single,Value (Adjusted),2013,1,2.684056894
CD Single,Value (Adjusted),2014,1,3.905023683
CD Single,Value (Adjusted),2015,1,1.291079457
CD Single,Value (Adjusted),2016,1,0.280361354
CD Single,Value (Adjusted),2017,1,1.542258972
CD Single,Value (Adjusted),2018,1,0.157981482
CD Single,Value (Adjusted),2019,1,0.181678878
Cassette,Value (Adjusted),1973,1,437.6110811
Cassette,Value (Adjusted),1974,1,452.1965598
Cassette,Value (Adjusted),1975,1,469.4964981
Cassette,Value (Adjusted),1976,1,654.6436714
Cassette,Value (Adjusted),1977,1,"1,053.00"
Cassette,Value (Adjusted),1978,1,"1,763.72"
Cassette,Value (Adjusted),1979,1,"2,044.55"
Cassette,Value (Adjusted),1980,1,"2,187.36"
Cassette,Value (Adjusted),1981,1,"2,989.13"
Cassette,Value (Adjusted),1982,1,"3,667.95"
Cassette,Value (Adjusted),1983,1,"4,648.29"
Cassette,Value (Adjusted),1984,1,"5,865.84"
Cassette,Value (Adjusted),1985,1,"5,729.71"
Cassette,Value (Adjusted),1986,1,"5,830.43"
Cassette,Value (Adjusted),1987,1,"6,660.81"
Cassette,Value (Adjusted),1988,1,"7,315.51"
Cassette,Value (Adjusted),1989,1,"6,898.20"
Cassette,Value (Adjusted),1990,1,"6,792.22"
Cassette,Value (Adjusted),1991,1,"5,668.00"
Cassette,Value (Adjusted),1992,1,"5,678.57"
Cassette,Value (Adjusted),1993,1,"5,158.79"
Cassette,Value (Adjusted),1994,1,"5,134.53"
Cassette,Value (Adjusted),1995,1,"3,864.38"
Cassette,Value (Adjusted),1996,1,"3,104.55"
Cassette,Value (Adjusted),1997,1,"2,425.48"
Cassette,Value (Adjusted),1998,1,"2,227.04"
Cassette,Value (Adjusted),1999,1,"1,629.08"
Cassette,Value (Adjusted),2000,1,929.3918815
Cassette,Value (Adjusted),2001,1,524.5948831
Cassette,Value (Adjusted),2002,1,298.1480745
Cassette,Value (Adjusted),2003,1,150.1984875
Cassette,Value (Adjusted),2004,1,32.07554738
Cassette,Value (Adjusted),2005,1,17.14852381
Cassette,Value (Adjusted),2006,1,4.69211756
Cassette,Value (Adjusted),2007,1,3.699811867
Cassette,Value (Adjusted),2008,1,1.068685991
Cassette,Value (Adjusted),2009,1,
Cassette,Value (Adjusted),2010,1,
Cassette,Value (Adjusted),2011,1,
Cassette,Value (Adjusted),2012,1,
Cassette,Value (Adjusted),2013,1,
Cassette,Value (Adjusted),2014,1,
Cassette,Value (Adjusted),2015,1,
Cassette,Value (Adjusted),2016,1,
Cassette,Value (Adjusted),2017,1,
Cassette,Value (Adjusted),2018,1,
Cassette,Value (Adjusted),2019,1,
Cassette Single,Value (Adjusted),1973,1,
Cassette Single,Value (Adjusted),1974,1,
Cassette Single,Value (Adjusted),1975,1,
Cassette Single,Value (Adjusted),1976,1,
Cassette Single,Value (Adjusted),1977,1,
Cassette Single,Value (Adjusted),1978,1,
Cassette Single,Value (Adjusted),1979,1,
Cassette Single,Value (Adjusted),1980,1,
Cassette Single,Value (Adjusted),1981,1,
Cassette Single,Value (Adjusted),1982,1,
Cassette Single,Value (Adjusted),1983,1,
Cassette Single,Value (Adjusted),1984,1,
Cassette Single,Value (Adjusted),1985,1,
Cassette Single,Value (Adjusted),1986,1,
Cassette Single,Value (Adjusted),1987,1,32.18217518
Cassette Single,Value (Adjusted),1988,1,123.8304827
Cassette Single,Value (Adjusted),1989,1,401.21655
Cassette Single,Value (Adjusted),1990,1,504.4677911
Cassette Single,Value (Adjusted),1991,1,432.4770396
Cassette Single,Value (Adjusted),1992,1,544.4783436
Cassette Single,Value (Adjusted),1993,1,528.1218997
Cassette Single,Value (Adjusted),1994,1,474.2247591
Cassette Single,Value (Adjusted),1995,1,396.4025532
Cassette Single,Value (Adjusted),1996,1,308.4504149
Cassette Single,Value (Adjusted),1997,1,212.6492804
Cassette Single,Value (Adjusted),1998,1,148.0614773
Cassette Single,Value (Adjusted),1999,1,73.65867947
Cassette Single,Value (Adjusted),2000,1,6.829397213
Cassette Single,Value (Adjusted),2001,1,-7.650943535
Cassette Single,Value (Adjusted),2002,1,-2.273769872
Cassette Single,Value (Adjusted),2003,1,
Cassette Single,Value (Adjusted),2004,1,
Cassette Single,Value (Adjusted),2005,1,
Cassette Single,Value (Adjusted),2006,1,
Cassette Single,Value (Adjusted),2007,1,
Cassette Single,Value (Adjusted),2008,1,
Cassette Single,Value (Adjusted),2009,1,
Cassette Single,Value (Adjusted),2010,1,
Cassette Single,Value (Adjusted),2011,1,
Cassette Single,Value (Adjusted),2012,1,
Cassette Single,Value (Adjusted),2013,1,
Cassette Single,Value (Adjusted),2014,1,
Cassette Single,Value (Adjusted),2015,1,
Cassette Single,Value (Adjusted),2016,1,
Cassette Single,Value (Adjusted),2017,1,
Cassette Single,Value (Adjusted),2018,1,
Cassette Single,Value (Adjusted),2019,1,
DVD Audio,Value (Adjusted),1973,1,
DVD Audio,Value (Adjusted),1974,1,
DVD Audio,Value (Adjusted),1975,1,
DVD Audio,Value (Adjusted),1976,1,
DVD Audio,Value (Adjusted),1977,1,
DVD Audio,Value (Adjusted),1978,1,
DVD Audio,Value (Adjusted),1979,1,
DVD Audio,Value (Adjusted),1980,1,
DVD Audio,Value (Adjusted),1981,1,
DVD Audio,Value (Adjusted),1982,1,
DVD Audio,Value (Adjusted),1983,1,
DVD Audio,Value (Adjusted),1984,1,
DVD Audio,Value (Adjusted),1985,1,
DVD Audio,Value (Adjusted),1986,1,
DVD Audio,Value (Adjusted),1987,1,
DVD Audio,Value (Adjusted),1988,1,
DVD Audio,Value (Adjusted),1989,1,
DVD Audio,Value (Adjusted),1990,1,
DVD Audio,Value (Adjusted),1991,1,
DVD Audio,Value (Adjusted),1992,1,
DVD Audio,Value (Adjusted),1993,1,
DVD Audio,Value (Adjusted),1994,1,
DVD Audio,Value (Adjusted),1995,1,
DVD Audio,Value (Adjusted),1996,1,
DVD Audio,Value (Adjusted),1997,1,
DVD Audio,Value (Adjusted),1998,1,
DVD Audio,Value (Adjusted),1999,1,
DVD Audio,Value (Adjusted),2000,1,
DVD Audio,Value (Adjusted),2001,1,8.661445511
DVD Audio,Value (Adjusted),2002,1,12.07940245
DVD Audio,Value (Adjusted),2003,1,11.11552174
DVD Audio,Value (Adjusted),2004,1,8.797091053
DVD Audio,Value (Adjusted),2005,1,14.66133333
DVD Audio,Value (Adjusted),2006,1,3.043535714
DVD Audio,Value (Adjusted),2007,1,3.453157742
DVD Audio,Value (Adjusted),2008,1,1.424914655
DVD Audio,Value (Adjusted),2009,1,1.906669712
DVD Audio,Value (Adjusted),2010,1,1.05519362
DVD Audio,Value (Adjusted),2011,1,0.34096844
DVD Audio,Value (Adjusted),2012,1,0.20389289
DVD Audio,Value (Adjusted),2013,1,-0.544116778
DVD Audio,Value (Adjusted),2014,1,2.310456232
DVD Audio,Value (Adjusted),2015,1,5.842187676
DVD Audio,Value (Adjusted),2016,1,3.020431045
DVD Audio,Value (Adjusted),2017,1,2.718901189
DVD Audio,Value (Adjusted),2018,1,3.377493968
DVD Audio,Value (Adjusted),2019,1,1.067303184
Download Album,Value (Adjusted),1973,1,
Download Album,Value (Adjusted),1974,1,
Download Album,Value (Adjusted),1975,1,
Download Album,Value (Adjusted),1976,1,
Download Album,Value (Adjusted),1977,1,
Download Album,Value (Adjusted),1978,1,
Download Album,Value (Adjusted),1979,1,
Download Album,Value (Adjusted),1980,1,
Download Album,Value (Adjusted),1981,1,
Download Album,Value (Adjusted),1982,1,
Download Album,Value (Adjusted),1983,1,
Download Album,Value (Adjusted),1984,1,
Download Album,Value (Adjusted),1985,1,
Download Album,Value (Adjusted),1986,1,
Download Album,Value (Adjusted),1987,1,
Download Album,Value (Adjusted),1988,1,
Download Album,Value (Adjusted),1989,1,
Download Album,Value (Adjusted),1990,1,
Download Album,Value (Adjusted),1991,1,
Download Album,Value (Adjusted),1992,1,
Download Album,Value (Adjusted),1993,1,
Download Album,Value (Adjusted),1994,1,
Download Album,Value (Adjusted),1995,1,
Download Album,Value (Adjusted),1996,1,
